icd10,chapter,OR,OR_lo,OR_hi,beta,se,pval,n_ms_with,n_hc_with,pct_ms,pct_hc,n_timing_ms,pct_pre_onset,fdr
R29,R,11.5367486237833,9.17308602336332,14.5094648049061,2.44553747300909,0.116971279917299,4.60843907461434e-97,110,1497,22.0440881763527,3.13173364573963,110,4.54545454545455,2.13370729154644e-94
R26,R,11.8659411047263,9.30749502455448,15.1276533513455,2.47367220446043,0.123904189928,1.12380112476871e-88,93,1156,18.6372745490982,2.4183594485471,93,5.37634408602151,2.60159960383955e-86
Z99,Z,14.6882401072204,11.2289930402781,19.2131562174354,2.68704718091367,0.137014328123653,1.2350515539774e-85,71,647,14.2284569138277,1.35352816886676,71,0,1.90609623163845e-83
H46,H,105.063570771282,65.8665597158135,167.586616802791,4.65456560287211,0.238232005089564,5.22359448029976e-85,39,37,7.81563126252505,0.0774042384050543,39,30.7692307692308,6.04631061094697e-83
N39,N,4.33924127553506,3.59182556230838,5.24218521213659,1.467699511524,0.0964484311709213,2.70871148872024e-52,181,5612,36.2725450901804,11.7403401602477,181,13.2596685082873,2.50826683855494e-50
N31,N,10.4235145409434,7.59612527505778,14.3032995706396,2.34406426745482,0.161441827755313,9.10933767493085e-48,47,500,9.4188376753507,1.04600322168992,47,8.51063829787234,7.02937223915497e-46
R32,R,8.66052192868567,6.37137930193537,11.7721197440658,2.15877498965959,0.156611741121881,3.17055653437468e-43,50,667,10.0200400801603,1.39536829773436,50,6,2.09709667916497e-41
L89,L,9.51863900808229,6.69737863784837,13.5283509363141,2.25325187724743,0.179354936474667,3.36921075672436e-36,38,549,7.61523046092184,1.14851153741554,38,0,1.94993072545422e-34
Z51,Z,3.76833128246331,3.05922387647357,4.64180498968929,1.32663227282372,0.106362767433481,1.05182932058175e-35,126,4382,25.250501002004,9.16717223489048,126,6.34920634920635,5.41107750477057e-34
H53,H,5.44181338583411,4.16810089123381,7.10475434712364,1.69411234830563,0.136046856121116,1.35671217957734e-35,66,1398,13.2264529058116,2.92462500784502,66,13.6363636363636,6.28157739144308e-34
Z50,Z,4.15094766254696,3.31361173486788,5.19987490263131,1.42333666059512,0.114947911998266,3.25263655122319e-35,102,3244,20.4408817635271,6.78646890232422,102,3.92156862745098,1.36906429383304e-33
G82,G,32.6445526842004,18.7715741061022,56.7702428111828,3.48567800211557,0.282313414368226,5.06638051238157e-35,17,65,3.40681362725451,0.13598041881969,17,5.88235294117647,1.95477848102722e-33
K59,K,3.73390212017165,3.01024784781335,4.63152064144814,1.31745383164571,0.10991398714723,4.19592955007825e-33,113,3746,22.6452905811623,7.8366561369009,113,7.9646017699115,1.49439644745095e-31
T83,T,11.1885686043063,7.52249084326759,16.6413053895977,2.4148925967428,0.202548614524182,9.03197760003293e-33,29,334,5.81162324649299,0.698730152088869,29,6.89655172413793,2.98700402058232e-31
R20,R,7.28875860923308,5.21338963127097,10.1902995596203,1.98633324472082,0.170970918108638,3.34017701054537e-31,40,566,8.01603206412826,1.18407564695299,40,17.5,1.03100130392167e-29
F05,F,8.55808607884342,5.92899001186559,12.3530040000604,2.14687657623376,0.187256477619251,1.97990759823106e-30,35,594,7.01402805611223,1.24265182736763,35,0,5.72935761238113e-29
G50,G,9.18267403633015,6.26620740465445,13.4565450857658,2.21731845157647,0.194973040604886,5.73638457985151e-30,31,335,6.2124248496994,0.700822158532248,31,9.67741935483871,1.56232121204191e-28
B96,B,4.40697665512493,3.38591885088128,5.73594468566816,1.4831888886198,0.134471209830475,2.74512468192025e-28,68,1868,13.627254509018,3.90786803623355,68,5.88235294117647,7.06107070960598e-27
A41,A,4.69129096701133,3.56259749716361,6.1775743554202,1.54570780407193,0.140417291442234,3.49838653468745e-28,62,1705,12.4248496993988,3.56687098596264,62,4.83870967741936,8.52501560821205e-27
J69,J,10.8922823519016,7.11132583018401,16.6835014548163,2.38805449734567,0.217533569851247,4.88320092141536e-28,25,304,5.01002004008016,0.635969958787473,25,0,1.13046101330765e-26
Z93,Z,6.52120704936354,4.66355290234777,9.11882898535574,1.87505948907455,0.171062196958711,5.86680574146743e-28,40,748,8.01603206412826,1.56482081964812,40,2.5,1.29349098014258e-26
R33,R,4.67163064835762,3.49250183579588,6.2488536701659,1.5415081859705,0.148413187848049,2.85348809167226e-25,58,1981,11.623246492986,4.14426476433547,58,3.44827586206897,6.00529539292844e-24
R53,R,5.2867749531262,3.85656336969379,7.24738237795942,1.66520841026568,0.160934664331756,4.31316316399578e-25,45,962,9.01803607214429,2.01251019853141,45,8.88888888888889,8.68258497795672e-24
G83,G,14.0115295611793,8.4653680191674,23.1913084226561,2.63988053077642,0.257090326911944,9.79151072358303e-25,18,143,3.60721442885772,0.299156921403318,18,11.1111111111111,1.88894561042456e-23
N32,N,3.97388817996334,3.02398242926153,5.22218221708014,1.3797450058282,0.139372631610805,4.17592567965306e-23,63,2105,12.625250501002,4.40367356331458,63,11.1111111111111,7.73381435871747e-22
L97,L,8.00587610242188,5.29501879533148,12.1045938918744,2.08017578486006,0.210923089885367,6.06755684679239e-23,26,425,5.21042084168337,0.889102738436434,26,3.84615384615385,1.08049185387111e-21
R41,R,5.31655145884603,3.79652639622723,7.44515287517735,1.6708248711454,0.171805269754569,2.35654276615483e-22,40,980,8.01603206412826,2.05016631451225,40,2.5,4.04103444714698e-21
Z74,Z,16.4565054072342,9.26871921975826,29.2183379167454,2.80072086452088,0.292895744124751,1.15305596621463e-21,14,105,2.80561122244489,0.219660676554884,14,7.14285714285714,1.90666040127633e-20
E86,E,4.42499094988767,3.17949430824229,6.15838338059879,1.48726823323468,0.168645954925172,1.15611515564311e-18,41,1154,8.21643286573146,2.41417543566034,41,2.4390243902439,1.845797645044e-17
R90,R,15.3669315752684,8.27958240615748,28.5210744280247,2.73221790035738,0.315523146566838,4.74560328190349e-18,12,82,2.40480961923848,0.171544528357147,12,8.33333333333333,7.32404773173772e-17
L24,L,12.3309777077982,6.70806989046339,22.667177550786,2.51211460906892,0.310613952137932,6.08627846318603e-16,12,113,2.40480961923848,0.236396728101923,12,0,9.09015138211333e-15
R54,R,7.05495692531714,4.3549054737493,11.4290465127431,1.95373047973222,0.246136517799674,2.06149362500109e-15,19,370,3.80761523046092,0.774042384050543,19,5.26315789473684,2.98272358867345e-14
G81,G,5.93434140249344,3.81467346321896,9.2318276310945,1.78075605349533,0.225459686371154,2.82654416049278e-15,22,438,4.40881763527054,0.916298822200372,22,4.54545454545455,3.96572711002472e-14
G95,G,8.07527291861286,4.80438836571693,13.5730144497491,2.08880666650821,0.264937205817414,3.16664601201628e-15,16,212,3.2064128256513,0.443505365996527,16,25,4.31222677518687e-14
M79,M,2.12282477998269,1.75699927334577,2.5648189585914,0.752747645157045,0.0965001273106397,6.16704597936275e-15,165,8996,33.0661322645291,18.8196899646451,165,21.2121212121212,8.15812082412844e-14
Z75,Z,6.98278204333766,4.27897371229988,11.3950793678869,1.94344741090902,0.249864396385001,7.36750928437776e-15,18,302,3.60721442885772,0.631785945900713,18,0,9.47543555185251e-14
R15,R,5.14444815176473,3.3686712872541,7.85631619396389,1.63791810440112,0.216020262532437,3.396316211768e-14,24,459,4.80961923847695,0.960230957511349,24,4.16666666666667,4.24998488121239e-13
Y84,Y,4.93416319176112,3.25801948528327,7.47262762328553,1.59618309250165,0.211767143668242,4.79270496243559e-14,25,642,5.01002004008016,1.34306813664986,25,16,5.83953262528337e-13
Z46,Z,4.45006405327708,3.00921069953804,6.58081871146772,1.4929184900694,0.199612587634175,7.48447668007493e-14,29,962,5.81162324649299,2.01251019853141,29,3.44827586206897,8.88541718685818e-13
F32,F,2.16526226124737,1.76399373669999,2.65781026453805,0.77254149095279,0.104571981631676,1.49443372726444e-13,126,5969,25.250501002004,12.4871864605343,126,28.5714285714286,1.72980703930859e-12
N21,N,9.47998912065257,5.19409994403686,17.3023612745202,2.24918316865578,0.306969292546285,2.35252263498954e-13,12,184,2.40480961923848,0.384929185581892,12,0,2.65662921951258e-12
J18,J,2.52423971992308,1.96780960250795,3.2380094880707,0.925939916366749,0.127050443423503,3.14658245043579e-13,78,3960,15.6312625250501,8.28434551578419,78,17.948717948718,3.4687325584566e-12
R56,R,6.28563456950924,3.81238936558784,10.36337009489,1.838266802659,0.255107489800373,5.76820497994447e-13,17,283,3.40681362725451,0.592037823476496,17,17.6470588235294,6.19356041781287e-12
H51,H,29.9760588574789,11.8832897369047,75.6157700873409,3.40039902497621,0.472074405864501,5.88588894997336e-13,6,21,1.20240480961924,0.0439321353109768,6,0,6.19356041781287e-12
L03,L,2.48575479243902,1.93200852690036,3.19821408761942,0.910576352841198,0.128579695689341,1.42288620951882e-12,73,3321,14.6292585170341,6.94755339846447,73,13.6986301369863,1.46399181112714e-11
M62,M,4.68108428118343,3.04831448914499,7.1884151473127,1.54352976710851,0.218847426404766,1.75107358952871e-12,23,531,4.60921843687375,1.1108554214347,23,13.0434782608696,1.76249363467781e-11
R47,R,5.09239007042309,3.21381300895724,8.06905584023317,1.62774728232188,0.234841426970278,4.17104941599231e-12,20,448,4.00801603206413,0.937218886634171,20,5,4.1089274034137e-11
H54,H,5.2877683684893,3.29642250587047,8.48207238877973,1.66539629835424,0.241101279113071,4.93424499134614e-12,19,407,3.80761523046092,0.851446622455597,19,5.26315789473684,4.75949048123596e-11
G51,G,5.22757771478814,3.26266647110058,8.37583890544942,1.65394801874064,0.24051184784127,6.12188389739081e-12,19,375,3.80761523046092,0.784502416267442,19,47.3684210526316,5.78455560100397e-11
Z73,Z,6.84825859421614,3.94730493330913,11.8811813542712,1.92399440013234,0.281102729313007,7.67686717994728e-12,14,225,2.80561122244489,0.470701449760465,14,0,7.10877900863118e-11
R69,R,2.46011930883242,1.89792020656689,3.18885219344272,0.900209848293581,0.132373056013671,1.04219057950771e-11,68,3004,13.627254509018,6.28438735591306,68,19.1176470588235,9.46145565317785e-11
G12,G,6.14041826588005,3.60989098679638,10.4448407494473,1.81489286131772,0.271028207649092,2.13726662752558e-11,15,289,3.0060120240481,0.604589862136775,15,13.3333333333333,1.90298932412374e-10
R51,R,2.85827549286792,2.09356054660986,3.90231789873895,1.05021846844781,0.158853184261154,3.81082534124193e-11,45,1522,9.01803607214429,3.18403380682413,45,22.2222222222222,3.329079496217e-10
E87,E,2.59090453276395,1.94425943565795,3.45261860366137,0.952007055190597,0.146492807908194,8.10381945396638e-11,56,2727,11.2224448897796,5.70490157109684,56,5.35714285714286,6.94827482812303e-10
R27,R,11.0285289432766,5.26900871023405,23.0837444653391,2.40048545567442,0.376858781295469,1.89371834451598e-10,8,79,1.60320641282565,0.165268509027008,8,0,1.59416653365618e-09
R13,R,2.80997402168021,2.0437481768279,3.86346717860954,1.03317523834926,0.162443762631737,2.01487836141496e-10,43,1646,8.61723446893788,3.44344260580323,43,4.65116279069768,1.6658726452413e-09
R60,R,3.70574622263917,2.47108282437864,5.55730262503749,1.30988464808706,0.206749083201783,2.36381170823067e-10,26,838,5.21042084168337,1.75310139955231,26,0,1.92007863317684e-09
Z96,Z,2.14458514817152,1.69097902557632,2.71987138113102,0.762946129559149,0.121244113919303,3.12102180778206e-10,93,5595,18.6372745490982,11.7047760507102,93,8.60215053763441,2.49143637414326e-09
Z86,Z,1.84509108205676,1.52342133652454,2.23468125295654,0.612528643242413,0.0977397747579808,3.68227926332835e-10,173,12453,34.6693386773547,26.0517562394092,173,13.2947976878613,2.88965304901869e-09
R40,R,6.65614526586856,3.67693818834338,12.0492288776563,1.89554052808071,0.30278578380244,3.84150620783386e-10,12,195,2.40480961923848,0.40794125645907,12,0,2.96436229037846e-09
R39,R,3.94638335981768,2.5638527331102,6.07442908928438,1.37279955438119,0.22004512926366,4.41170900122402e-10,23,789,4.60921843687375,1.6505930838267,23,17.3913043478261,3.34855945502741e-09
U82,U,5.69564814662336,3.29302424430308,9.8512508270341,1.73970240019036,0.27953879308549,4.86265548473838e-10,14,280,2.80561122244489,0.585761804146357,14,0,3.63130562811914e-09
M81,M,2.44958735156668,1.84607371962497,3.25040009462593,0.89591958243909,0.144315567532846,5.36429548015889e-10,61,2613,12.2244488977956,5.46641283655154,61,13.1147540983607,3.94233144018026e-09
F03,F,6.70924677456558,3.67131669671413,12.2609940794012,1.90348669051952,0.307620571352058,6.10195772736392e-10,12,263,2.40480961923848,0.5501976946089,12,0,4.41438504338984e-09
Z87,Z,1.96068291705796,1.58393432591337,2.42704349438611,0.673292839626197,0.108867861227941,6.230123889035e-10,113,6778,22.6452905811623,14.1796196732286,113,13.2743362831858,4.43776517018955e-09
R25,R,5.99816944631654,3.39469454483416,10.5983134068644,1.79145433039736,0.290428849745383,6.90249965978141e-10,13,227,2.60521042084168,0.474885462647225,13,0,4.84220809466484e-09
L08,L,2.73840958120818,1.98687166638096,3.77421811450552,1.00737730706214,0.16368159806165,7.53178833920538e-10,42,1597,8.41683366733467,3.34093429007761,42,11.9047619047619,5.20480298664491e-09
U83,U,6.76042421400563,3.63957779707137,12.5573179367369,1.91108564163708,0.315927528842514,1.45633120144161e-09,11,186,2.20440881763527,0.389113198468651,11,0,9.91590215099213e-09
G11,G,20.0603221769928,7.58667706316134,53.0425273798415,2.99874384307246,0.496097016387451,1.49714076907975e-09,5,26,1.00200400801603,0.054392167527876,5,40,1.00460315374481e-08
I95,I,2.63185976442367,1.92154552275263,3.6047471879145,0.967690731049543,0.160490259718988,1.64374471465197e-09,45,2075,9.01803607214429,4.34091337001318,45,11.1111111111111,1.08721971840552e-08
R44,R,7.19890839975911,3.75721619155362,13.7932659463742,1.97392940338331,0.331760762643332,2.68375341309596e-09,10,149,2.00400801603206,0.311708960063597,10,20,1.75010962008934e-08
Z88,Z,1.8839156696896,1.52209304601061,2.33174854835863,0.6333524138411,0.108809195014836,5.85799805003803e-09,114,6425,22.8456913827655,13.4411413987155,114,13.1578947368421,3.76701819051057e-08
G97,G,12.2767576250355,5.19241050457397,29.0267454106525,2.50770785080585,0.43903561719593,1.11751190314181e-08,6,47,1.20240480961924,0.0983243028388527,6,16.6666666666667,7.08778097472134e-08
U07,U,2.93488299143808,2.02768344858454,4.2479698591244,1.07666758585439,0.188660001403255,1.15038636022615e-08,31,1164,6.2124248496994,2.43509550009414,31,0,7.15320601463847e-08
R94,R,2.89284666035611,2.00841018939185,4.16675928280742,1.06224102091007,0.186172225692257,1.15872667623733e-08,32,1228,6.41282565130261,2.56898391247045,32,9.375,7.15320601463847e-08
I67,I,3.16272014068065,2.12155848023434,4.71483524091318,1.15143246133239,0.203715056397843,1.58433277381698e-08,27,1086,5.41082164328657,2.27191899751051,27,7.40740740740741,9.65192202996394e-08
Z53,Z,1.96572785814805,1.55022111834836,2.49260313033033,0.675862588007177,0.121155617475317,2.42647794340902e-08,85,5011,17.0340681362725,10.4830442877764,85,16.4705882352941,1.45903803610179e-07
B95,B,3.17586685869401,2.1082538028008,4.78411578850307,1.15558062144006,0.209041121529486,3.23890558419103e-08,25,892,5.01002004008016,1.86606974749482,25,8,1.92258113523135e-07
G25,G,3.73514099834657,2.33570012894385,5.9730605417391,1.31778556843358,0.239527490391138,3.76349998733946e-08,19,540,3.80761523046092,1.12968347942512,19,15.7894736842105,2.205696828023e-07
G04,G,8.86827757538429,4.05216442894823,19.4084787360115,2.18248059205179,0.399606850401908,4.71943376558626e-08,7,77,1.40280561122245,0.161084496140248,7,0,2.73137229183305e-07
Z11,Z,2.33399393229666,1.71421661852734,3.1778525637428,0.847580934159467,0.157461602090886,7.33447508364314e-08,46,2208,9.21843687374749,4.6191502269827,46,2.17391304347826,4.19242217744046e-07
R63,R,2.38239625617228,1.7330679899658,3.27500822488544,0.868106811494171,0.162353861737393,8.94218480636552e-08,43,1987,8.61723446893788,4.15681680299575,43,6.97674418604651,5.0490628845698e-07
F06,F,8.3226349150403,3.82530275335652,18.1073908119482,2.11897890121463,0.396602696869439,9.15089755860418e-08,7,110,1.40280561122245,0.230120708771783,7,14.2857142857143,5.10465731281173e-07
Z13,Z,2.27621975472406,1.67923309502811,3.0854420313276,0.822516064645346,0.155193299239099,1.15837103410892e-07,47,2156,9.4188376753507,4.51036589192695,47,12.7659574468085,6.38483081895749e-07
Z60,Z,3.39816405481137,2.15021704328458,5.37039689992065,1.22323530189931,0.233503323719367,1.61781315496763e-07,20,648,4.00801603206413,1.35562017531014,20,15,8.81232342058838e-07
J22,J,1.76154618802366,1.41809501501089,2.18817846455574,0.566191939303343,0.110651789328359,3.10630937298592e-07,107,6759,21.4428857715431,14.1398715508044,107,17.7570093457944,1.67235027871219e-06
G93,G,3.07583903557853,1.99104040568765,4.75167944646564,1.12357772113846,0.221898164334053,4.1166376108502e-07,22,687,4.40881763527054,1.43720842660195,22,13.6363636363636,2.19080829175131e-06
R52,R,4.24104972897945,2.41204487048248,7.45695199280389,1.44481081619109,0.287926497183629,5.22162790859388e-07,13,292,2.60521042084168,0.610865881466915,13,15.3846153846154,2.74728832008973e-06
I87,I,4.8095104989048,2.60347358144373,8.88481888348879,1.57059531155956,0.313137125159973,5.28464894596706e-07,11,242,2.20440881763527,0.506265559297923,11,0,2.74920501346376e-06
G55,G,2.8268608829887,1.87890104559401,4.25309383403174,1.03916686737987,0.208408067178597,6.15744842805721e-07,25,920,5.01002004008016,1.92464592790946,25,20,3.16766513576721e-06
D64,D,1.95701898811161,1.50119204841722,2.55125473377473,0.671422391029931,0.135287193664778,6.94335977252515e-07,65,3624,13.0260521042084,7.58143135080856,65,20,3.53272041173532e-06
H55,H,8.20860392930151,3.53748949061312,19.0477395471967,2.10518286385295,0.429472230479298,9.49671240840472e-07,6,73,1.20240480961924,0.152716470366729,6,0,4.77932374466455e-06
N17,N,2.21270020488253,1.60283278880775,3.05461819278669,0.794213581888646,0.164510727098625,1.38097268951092e-06,43,2541,8.61723446893788,5.31578837262819,43,11.6279069767442,6.87516511014577e-06
K52,K,1.96630968747878,1.49040169224483,2.59418236519135,0.676158530926452,0.141384109791777,1.73195273006259e-06,58,3030,11.623246492986,6.33877952344093,58,15.5172413793103,8.5307884470104e-06
A09,A,2.05802493730032,1.5303104587754,2.76771724212049,0.721746754588359,0.151161288538792,1.79993387161358e-06,50,2537,10.0200400801603,5.30742034685467,50,8,8.77230929007458e-06
D50,D,1.9189267505569,1.46819885765196,2.50802529562774,0.651766045664892,0.136596766852495,1.82895063058506e-06,63,3281,12.625250501002,6.86387314072927,63,30.1587301587302,8.82087647875919e-06
I69,I,4.39107278213914,2.37952636240864,8.10309164153398,1.47957356674149,0.312587809313284,2.2089273642174e-06,11,302,2.20440881763527,0.631785945900713,11,9.09090909090909,1.05436429859037e-05
S72,S,3.20917451746452,1.97861188554706,5.20506379182906,1.16601374440233,0.246743986461447,2.29435234006033e-06,18,629,3.60721442885772,1.31587205288592,18,5.55555555555556,1.08396442188564e-05
Z63,Z,5.64481917329351,2.74552785318319,11.60577681346,1.73073816401389,0.367737148621097,2.52062191323186e-06,8,141,1.60320641282565,0.294972908516558,8,12.5,1.17883630891551e-05
Z72,Z,1.95458180175105,1.4647218814291,2.60826991674958,0.67017625840706,0.147199426524605,5.29251217964164e-06,53,3030,10.6212424849699,6.33877952344093,53,26.4150943396226,2.45043313917408e-05
F17,F,1.7680518004605,1.37753880128878,2.26926977750974,0.569878262689246,0.127336649559327,7.62801056585024e-06,74,4500,14.8296593186373,9.41402899520931,74,31.5068493150685,3.49680088315709e-05
T18,T,7.96491257135872,3.18127501170242,19.9416372479659,2.07504596669897,0.468246889381864,9.35706579807503e-06,5,69,1.00200400801603,0.144348444593209,5,20,4.24737398481249e-05
N30,N,2.04736358283299,1.48723551934931,2.81844911970948,0.716552908314467,0.16307850398143,1.11327913693591e-05,43,1870,8.61723446893788,3.91205204912031,43,18.6046511627907,5.00435184855659e-05
Z91,Z,2.09561056837637,1.50423186103596,2.91948586387889,0.739844951665939,0.169164579131288,1.22258105931568e-05,39,1744,7.81563126252505,3.64845923725445,39,12.8205128205128,5.44283683137653e-05
J11,J,2.39491349017163,1.61642375391079,3.54833354281591,0.873347109196567,0.20057702016207,1.33570002712651e-05,27,1089,5.41082164328657,2.27819501684065,27,40.7407407407407,5.88980107199596e-05
B99,B,5.50400498178622,2.55163089227131,11.872434579502,1.70547600575168,0.392215961948807,1.37191527927961e-05,7,130,1.40280561122245,0.27196083763938,7,14.2857142857143,5.99242239911752e-05
Z20,Z,6.22221695102526,2.70941705738783,14.2894146473531,1.82812626624192,0.424179980849141,1.634102948391e-05,6,109,1.20240480961924,0.228028702328403,6,0,7.07093144957973e-05
J96,J,2.6077221908797,1.68515926222901,4.03535450756837,0.958477116488591,0.222763795667064,1.68758886541973e-05,22,1047,4.40881763527054,2.1903307462187,22,4.54545454545455,7.2347559693457e-05
Z92,Z,1.60256234976761,1.28379230814081,2.00048408812479,0.471603816867102,0.113155805340459,3.07636439094181e-05,110,8864,22.0440881763527,18.543545114119,110,10,0.000130674927798721
B00,B,2.82069088858799,1.72454413678757,4.61356535865999,1.0369818508966,0.25103015503434,3.6133709093299e-05,17,551,3.40681362725451,1.15269555030229,17,41.1764705882353,0.00015209006645634
I24,I,3.25722272985356,1.8545431327959,5.72081593803639,1.18087490892788,0.287365577959511,3.96839083191505e-05,13,519,2.60521042084168,1.08575134411414,13,7.69230769230769,0.00016552837434024
B27,B,2.99532495677248,1.77339056302166,5.05921920627388,1.09705272543883,0.267428285149739,4.09184627719075e-05,15,452,3.0060120240481,0.94558691240769,15,80,0.000169154002351725
R31,R,1.97144945544268,1.41822513608412,2.74047671027508,0.678769036392227,0.168042270779021,5.36165465440269e-05,40,2461,8.01603206412826,5.1484278571578,40,10,0.000219685496016676
