gene,Endothelial,Pericytes,Smooth muscle,Fibroblasts,Oligodendrocytes,Microglia,Astrocytes,Neurons,T cells,B cells,NK cells,Monocytes,Dendritic cells,Macrophages,Plasma cells,Granulocytes,logFC,direction
NEFL,0.647996209344328,0.507325453743813,0.537369751324186,0.393693177326902,0.289982311222262,0.843920711065544,1,0.309328301412945,0.20221699882958,,0.118951175782106,,,,,0.38064376250274,0.216687295279603,Up in MS
CHGA,0.324443551168575,,,,0.174403875988994,0.402424137985655,0.230913860472051,1,,,,,,,,,0.18215463544069,Up in MS
IGFBP2,0.258781408548871,0.300975750943677,0.340846343139951,0.327241113010492,0.125026907452799,0.240083861624655,0.256068914572178,0.377394716966454,0.759398496240602,0.0902255639097744,0.0488721804511278,,,0.864661654135338,0.165413533834586,1,0.170130505712098,Up in MS
IL17RB,0.517341382081005,0.23147487018911,0.306795738588187,0.227727427765169,1,0.55846340795689,0.688889676435999,0.211054511165526,0.188323608303835,,,,,0.239684592386699,0.222564264359078,0.171203280276214,0.159039679179688,Up in MS
LILRB4,0.0344340019379473,0.0334634009377436,0.0345915983650774,0.0232383897569483,0.0342102098054771,0.0618934901446733,0.0431792633195085,0.0161031122746418,,0.0236941303177167,,0.170166935918148,1,0.466882067851373,0.227786752827141,,0.136927163906938,Up in MS
MMP1,,,,,,,,,,,,,,1,,,0.136108279621361,Up in MS
GFAP,0.729236836759979,0.601357655091304,0.597800324810671,0.4999181014603,0.354417482618223,0.870831269859199,1,0.452342107184638,,,,,,,,,0.135510735436428,Up in MS
IL22,,,,,,,,,1,,,,,0.0445682451253482,,,0.121811051779658,Up in MS
MAGEA3,,,,,,,,,,,,,,,,,0.120983288087817,Up in MS
IL6,0.0466823589699145,0.0318653377582963,0.0620811747821176,0.0468309051291798,0.0252444272816701,0.0516584598003382,0.0331988585062363,0.00980442929323861,0.0336658354114713,0.134663341645885,,1,,0.163965087281796,0.0162094763092269,0.027431421446384,0.118951325563716,Up in MS
LAMP3,0.272421676671549,,,,,0.852617521444456,,,0.211538461538462,0.596153846153846,,,,0.692307692307692,1,0.711538461538462,0.118765459884902,Up in MS
CKB,0.0548527548081782,0.0468670115503497,0.0699452131888763,0.0493124326667091,0.0721888370985797,0.0790840568434721,0.0693166227836481,0.0827204654000508,0.131538461538462,0.0376923076923077,0.00307692307692308,1,0,0.248461538461538,0.160769230769231,0.295384615384615,0.116849005525466,Up in MS
ARL13B,0.0923838537958928,0.0387124568684394,0.0647208098257693,0.00484349508249277,0.0534172249738869,0.159772827744652,0,0.144587915220162,0.40360231701182,0.451958885902753,0.360618700219879,0.570163832080591,0.000630909587373347,0.419721173308797,0.167192424656144,1,0.110498292794361,Up in MS
JCHAIN,3.63903537461926e-05,2.4823402842782e-05,,1.75148851991323e-05,4.77876064768426e-05,5.07771094191519e-05,,,0.00206616030711752,0.0748440220407365,0.000199377485075262,1.39691231581394e-05,0.0203961897311706,0.00180709656854839,1,0.000105403383829597,0.0970069874151555,Up in MS
CTSF,0.440255087268777,0.45351455164321,0.448440829626164,0.396220897155198,0.480777332326101,0.531005043259681,0.400378512434346,0.465385209122175,0.4375,0.38125,0.725,,0.09375,0.7125,0.875,1,0.0944466474306935,Up in MS
TREM2,0.0631197169528314,0.0603420038067467,0.0626418111979729,0.043626616113722,0.0627074594872212,0.10747059068244,0.0781437608347302,0.0338889805000469,,,,,,1,,0.0221827861579414,0.0873640328748613,Up in MS
PI3,,,,,,,,,0.186781609195402,,,,,0.204022988505747,,1,0.0855878730493148,Up in MS
IL15,0.119815494814734,0.0927828253007767,0.0888483104522362,0.0800968559731847,0.0406787978834672,0.108339277677645,0.05797285050096,,0.0903846153846154,0.169230769230769,0.151923076923077,1,0.0230769230769231,0.303846153846154,0.165384615384615,,0.0824486371536118,Up in MS
MMP12,,,,,,,,,,,,,,1,,,0.0811059359925805,Up in MS
TGFA,0.508898311942066,0.276905260099241,0.426379567169313,0.229145072146071,0.861235971628322,0.887183938998829,0.471825224729883,0.563872452086667,0.183908045977012,,0.252873563218391,,,0.505747126436782,,1,0.0802867277725989,Up in MS
AMN,0.0327344897754102,,0.0220939027684457,0.0189092873199083,0.0434765965663455,0.0414516277978488,,,0.0371428571428571,0.114285714285714,,,1,0.0171428571428571,0.0619047619047619,0.0638095238095238,0.0740815960290156,Up in MS
MERTK,0.126712283791717,0.115067550842132,0.120255359155525,0.0945354598184241,0.0864762780077293,0.17657702922386,0.126144095575837,0.0666098015495517,0.0145395799676898,0.0452342487883683,,0.495961227786753,,1,0.429725363489499,0.0533117932148627,0.0728882224358866,Up in MS
CD302,0.0284792740899791,0.0296923873849343,0.0275708257542816,0.0248830751789242,0.0193057327328129,0.045314561833774,0.0306773828030262,0.0111522879922767,0.0100956429330499,0.0233793836344315,0,0.954835281615303,0.312964930924548,1,0.0249734325185972,0.128055260361318,0.0721445932797536,Up in MS
CTSC,0.00266133927025131,0.000508160070717183,0.000698745869027689,0.00129756390579716,0,0.00702222388047797,0.00237757412389466,0.000529625805802703,0.236093354665476,0.0629151748094097,0.43309572499249,1,0.583982264641822,0.639293396904782,0.105129968450913,0.155982772672525,0.0703908719938579,Up in MS
LTO1,0.273530522822878,0.155238499093935,0.138432047350323,0.190292552305608,0,0.562252021617124,0.29294245218449,0.604284758185397,0.74491696294512,0.861830021595274,1,0.851201561717987,0.787430802454267,0.702403123435974,0.946857700613567,0.500462385767527,0.0684033071979107,Up in MS
LGALS9,0.0246326585206701,0.0143022012274446,0.0143121686193797,0.00718570158208914,0.0146717987367491,0.037178747634689,0.0222969757116228,0.00822197979725057,0.0601915184678523,0.195166438668491,0.111263109895121,1,0.125398996808026,0.719106247150023,0,0.101231190150479,0.0668662546313438,Up in MS
IL2RA,0.0508762582713489,0.0700496773323257,,,,0.159499895075774,,,1,0.48015873015873,0.484126984126984,,,0.464285714285714,,0.857142857142857,0.0664472379646929,Up in MS
TPP1,0.0119720559339279,0.00546567552213831,0.00719420178244324,0,0.010978502043063,0.0232929712947836,0.0082543047632758,0.00966680849046906,0.17354814566467,0.269100387903198,0.210568386113105,0.800390865690196,0.648307715739868,1,0.104010126443961,0.285609414049121,0.0647597693868171,Up in MS
CD83,0.00202113605129013,0.00192017456550663,0.00173240881762571,0,0.00216198008939828,0.00692267690181717,0.00145478953567495,0.000701301338521578,0.0637850899359783,0.666366682703084,0.0310382875111976,1,0.286847413860333,0.631800613476926,0.00991457853965704,0.356484904201919,0.0645132121970238,Up in MS
CD5L,,,0.0749926600673782,,0.106337676109782,0.323338364493656,,,,,,,,1,0.0958904109589041,,0.0644324392191816,Up in MS
C4BPB,,,,,,,,,,0.434782608695652,,,0.521739130434783,,1,,0.0632612525096157,Up in MS
SNX18,0.00663861464868828,0.00733730503438873,0.00962521643060768,0.00372391810958307,0.00813513436556233,0.0163611810974015,0.00712868882188426,0.0105596410893259,0.023370233702337,0.0322878228782288,0.0673431734317343,1,0.163591635916359,0.143911439114391,0.02460024600246,0,0.0607410334255097,Up in MS
GLB1,0.0383179337590831,0.0255014065533499,0.02162101639269,0,0.00846306032564375,0.102093191237804,0.015979681790114,0.0444952403915133,0.280297983854042,0.344209745905614,0.102456559014887,0.583184160533229,0.327537112326943,1,0.472033270008757,0.397006418904738,0.0596107688749921,Up in MS
PLA2G15,0.16349145700744,0.141933390794503,0.142915401593713,0.108113450070461,0.151034651835779,0.320251427668761,0.18360437871922,0.212127071163355,0.0588235294117647,0,0.0431372549019608,0.0745098039215686,0.0392156862745098,1,0.0941176470588236,0.0666666666666667,0.0582548272394061,Up in MS
EPHA1,0.319622689264491,,0.299664065536897,,0.245148243147189,0.582465985781873,,,1,,,,,,,,0.0579567519915414,Up in MS
MOG,0.614733669735028,0.449005155739055,0.328479010768782,0.343091561996748,1,0.634338806002719,0.49688010939505,0.543757007806886,,,,,,,,,0.0568593638801224,Up in MS
ACP5,0.00841243504504908,0.0153640802874832,0.0110734368475125,0.0113344621303258,0.00359272694064897,0.0203270783122126,0.00902151757778809,,0.0910020449897751,0.204498977505112,0.0286298568507158,0.0354464894342195,0.102931152010907,1,0.113496932515337,0.124744376278119,0.0564018490144027,Up in MS
OSCAR,0.106568481771246,0.0977039377747042,0.099061052866597,0.0831028407227684,0.100303268921233,0.219088268897274,0.138822572071245,0.0457186201549644,,,,0.813559322033898,,1,,0.036319612590799,0.0562377007032071,Up in MS
PTPRF,0.320497830555072,0.326149984639883,0.329601511366724,0.300527075889401,0.467546208328792,0.344492027516522,0.345704946668371,0.481174856893387,0.186813186813187,0.0714285714285714,0.054945054945055,,,0.28021978021978,0.43956043956044,1,0.056193975333683,Up in MS
CX3CL1,0.996243378869863,0.580592869600153,1,0.698538022812842,0.433991140363026,0.799071633724335,0.610414278282367,0.754600181605782,,0.160547512898217,,,,,,0.298159666810974,0.0551111576118617,Up in MS
DCBLD2,0.301861448094411,0.313275361236111,0.334417137808995,0.279070634809892,0.297780071751306,0.378980856363809,0.238112470077959,0.427838421382676,0.0454545454545455,0.0707070707070707,0.0404040404040404,,0.136363636363636,0.222222222222222,0.0909090909090909,1,0.054802324005321,Up in MS
IFIT3,0.287063136344923,0.215336321881885,0.172399647124101,0.166933304621045,0.200658521961469,0.280381640909528,0.174759950487884,0.199583488043577,0.127340823970037,0.131086142322097,0.344569288389513,1,0.0112359550561798,0.812734082397004,0,0.599250936329588,0.0541639272766788,Up in MS
PLAUR,0.000580775622220413,0.000275471870348532,0.000459678293026398,3.35452625343034e-05,0.000159899460625374,0.00170065433519854,0.000288715509694059,0,0.00754385406242605,0.0213455576069262,0.00098398555421657,1,0.0180006741596709,0.285721248326398,0.00341958029736366,0.127082844056085,0.0538002426765725,Up in MS
LTBP2,0.527883234283423,0.423076826056994,0.867156602539157,0.822348545534735,0.241229969794121,0.996996500656968,0.514767182023279,,0.166666666666667,,,,,1,0.222222222222222,,0.0535121787510036,Up in MS
FOLR1,0.181681829101726,,,0.610179782760616,,,0.596967390211343,0.708323174677098,0.229885057471264,0.160919540229885,,,,0.459770114942529,0.206896551724138,1,0.0529884699908653,Up in MS
ELOB,0.00252741934767032,0.00143506005001508,0.00235697673369843,0,0.00164795584901421,0.00332132569145325,0.00185552295291073,0.00385824042319157,0.505727512882377,0.357872429584575,0.587121654187271,1,0.367882596156346,0.735797242941775,0.766812349205132,0.448128029821857,0.0528994259838687,Up in MS
SUSD2,0.56720125790589,0.816060426131114,1,0.714854839355001,0.218793224269221,0.546471659257325,0.551991641548816,0.349806671859514,,,,,,,,0.250188689904363,0.0521992617471508,Up in MS
RNASET2,0.00201278640058961,0.00198451809655624,0.00202029358020731,0,0.00183505928749035,0.00837192953975288,0.00413012489551789,0.00223632994690846,0.185405053734844,0.363318682392047,0.072091797992286,0.765495394257001,1,0.547534786455556,0.198141306118422,0.155862200267781,0.0518525845239567,Up in MS
SSBP1,0.00894027540012652,0.00521560856941241,0.00845171831579595,0,0.0042708147840782,0.014858515594891,0.00448005475332874,0.0120093884450223,0.618966738995151,0.530420072655335,0.621792696431528,0.428214612039695,0.492740640170306,0.580345320697997,0.6170827673709,1,0.0517169908676724,Up in MS
THPO,0.366743335869629,1,0.729746381495989,0.677513353580331,,,,,,,,,,,,,0.05096536490456,Up in MS
TNFSF13,0.17974856034963,0.22708160545243,0.223560023881136,0.105730775593477,0.132092934849339,0.556818275097472,0.293503754172962,,,0.223214285714286,,0.232142857142857,0.232142857142857,1,,,0.0446621579903124,Up in MS
ST6GAL1,0.0266752007870478,0.010550924492774,0.0125446129067952,0,0.0106215044751397,0.0433913320106472,0.0208776633517249,0.0208258376877872,0.150036142987409,0.625395868489892,0.0828657469924935,0.0499264181872943,0.104825299529293,0.138410497526751,1,0.0202164353433892,0.0443579181699118,Up in MS
SERPIND1,0.34443101123774,1,0.497778085581503,0.831439596382328,,0.310820680227803,0.460860580078418,,,,,,,,0.430806954735679,,0.0429097378052251,Up in MS
MANSC1,1,0.673358682265989,0.693155109899351,0.50604892762887,0.747504979079698,0.902643665838128,0.469169226324926,0.860719196392105,0.177265608329496,0.517024690961029,0.620429629153235,0,0.398847618741365,0.192037742356954,0.0738606701372898,0.94541657775731,0.0422505994494181,Up in MS
PSAP,0.000707226835794801,0.000414920817240467,0.000498374593734153,0,0.000705350851785927,0.001818640983258,0.000654865140585157,0.000667717108303331,0.0438400151901786,0.0788625740027562,0.0622539378648328,1,0.192074098595075,0.671839025100934,0.230386290652362,0.14140572313083,0.0407944329007838,Up in MS
PDIA3,0.00405178792639926,0.00233887162828373,0.00283274071106091,0,0.00219220491757699,0.00880247049942707,0.000786486434683289,0.00410400757800828,0.522230335974696,0.418009018057101,0.878762956708103,0.663939423857549,0.77852969942511,0.594281298106503,1,0.640011060049938,0.0318561382014512,Up in MS
ROBO4,1,0.475387125678101,0.429838034346567,0.464157970637126,0.497947869167398,0.831574343735813,0.522511784865538,0.358861613522914,,0.215621481264082,,,,0.246424550016094,0.174550722928066,,0.0239627259640776,Up in MS
EGFR,1,0.911701170231644,0.890397970805783,0.793492604803163,0.29309923571647,0.709059125256815,0.751223718610903,0.811002943967101,0.324326590430315,0.252254014779134,,,,0.456459645790814,0.540544317383858,0.960967675349081,-0.0282117123838165,Down in MS
NEO1,0.771505258325646,0.709561796784905,0.757667680791841,0.704027672664728,1,0.915827354274151,0.696452489517979,0.965888687583055,0.705223684748753,0.404636540429613,0.716784728761028,,,0.208098792220944,0.358392364380514,0.624296376662831,-0.0307764222137807,Down in MS
ITGB1,0.00446422344645639,0.00260371885181387,0.00482204408071371,0.000495375205222016,0.0010257673945804,0.00542974907861826,0,0.00315822336784078,0.474504762068289,0.277913240020622,0.553094451669683,1,0.161788176281248,0.477319915128637,0.315683210246963,0.200496530861039,-0.0353644079742291,Down in MS
ROBO1,0.478223930426015,0.631860064657647,0.615642967257816,0.594126293485268,0.750176080817286,0.656341621114372,0.603794994830866,1,,0.273936038984459,,,,0.205452029238344,0.13696801949223,0.684840097461148,-0.0369287500325455,Down in MS
PENK,0.215483604988365,,0.130031329470076,0.630664021348653,,0.461191322905271,0.189115830968438,1,,,,,,0.154684717770808,0.244917469803779,0.19335589721351,-0.0396651473842884,Down in MS
SEZ6L2,0.517346866730985,0.493664730705041,0.534748706251726,0.506698379857768,0.854170598216782,0.601077059145225,0.618129901311747,1,,,,,,0.150095224834125,0.260165056379151,,-0.0402569142473742,Down in MS
VAT1,0.0807483513826226,0.0590821151152355,0.0662906888172319,0.0533032326061933,0.0639087820062795,0.0736907598308013,0.0525072865547451,0.0793329094621842,0.12375249500998,0.144710578842315,0.0409181636726547,0.0269461077844311,,0.49001996007984,0.187624750499002,1,-0.0412646517276114,Down in MS
ADGRE2,0.0175826596627053,0.0239129671854661,0.0166633263305002,0.0135536653468828,0.0257268280027775,0.0346669106824004,0.017653048166907,,0.00920887400586019,0.00879028882377564,0.00627877773126831,1,0.0899958141481792,0.302637086647133,0.00586019254918376,0.30514859773964,-0.0413159677224541,Down in MS
SCRG1,0.743120518646945,0.620765730995496,0.643217656349639,0.471403069408583,0.925014193496639,1,0.986893789033982,0.904349390896093,0.385785917093923,,0.289339437820442,0.66306954500518,0.168781338728591,0.361674297275553,,0.108502289182666,-0.0415891770499142,Down in MS
SPOCK1,0.673378209953906,0.40564584429911,0.423435785531222,0.350824219941593,1,0.6173834714208,0.649274953520321,0.893694753982722,,,,,,0.172600482505182,0.172600482505182,,-0.0419032420074684,Down in MS
GSR,0.0622204369730159,0.0270866463439794,0.038665899359768,0,0.0264475429061973,0.132165188230623,0.0357579714868784,0.0974151131245661,0.466685545073617,0.273061825769134,0.476876267142274,1,0.171154605082564,0.813170095407955,0.436113378867646,0.684087615871633,-0.0430525452570898,Down in MS
ADGRG2,0.580153447016806,0.721299902627331,0.586807374279419,0.275621147851054,0.64145313220731,1,,,,,,,,,,,-0.0442386186165247,Down in MS
VGF,0.499978920943916,,,0.271794459146757,,0.543940860126505,0.337976666407141,1,,,,0.444070734230578,,,,,-0.0458163846478681,Down in MS
CD34,1,0.432316968353327,0.447985167595048,0.460223049718027,0.473001945185518,0.686531813720164,0.454373868517284,0.298290990527939,0.164905665409227,0.278278310378071,0.0824528327046136,,,0.319504726730378,0.247358498113841,0.133985853144997,-0.0462281006954135,Down in MS
SETMAR,0.64445370357034,0.591208355759896,0.746213293474712,0.526216533150764,0.671568019926484,0.873207567452334,0.447310496508953,1,0.257356554147159,0.0454158624965575,0.166524829154044,0.544990349958691,0,0.18166344998623,0.121108966657487,0.454158624965576,-0.0462961976456125,Down in MS
IGDCC4,0.213701247731997,0.449198970691262,0.229966874204675,0.653088190329047,0.279667536986748,0.534428753267962,0.432299291107278,1,,,,,,,,,-0.0463112508477995,Down in MS
RTBDN,,,,,,,,,,,,,,,,,-0.0466614845597417,Down in MS
GALNT7,0.0670833886027466,0.0439776818794586,0.0304504684437094,0,0.0900203395352611,0.128933883343267,0.0125044704219076,0.0724125399844991,0.168140639573424,0.243082924296539,0.0407387555441289,0.160646411101113,1,0.52411649200822,0.1194281545034,0.179381982281892,-0.0466749390446568,Down in MS
RGMB,0.519301964529652,0.435287867007288,0.466044430063489,0.395033653145976,0.45672869921633,0.694178533115501,0.423329648471983,0.760959587327604,0.25,1,,,,0.266129032258065,0.379032258064516,,-0.049053013904389,Down in MS
L1CAM,0.243288320156429,,,0.262014374431273,0.499880005465073,0.600231564550503,0.155158262161189,1,0.171693817265122,,,,,,,0.665313541902349,-0.049082971760823,Down in MS
COL15A1,0.440471083408275,0.612896160353702,0.671635567127824,0.853736668426144,0.386656155076498,1,0.718182673303421,,0.291903842770137,0.384084003644917,,,,0.660624486269257,0.59917104568607,0.307267202915933,-0.0496815439438466,Down in MS
